URL,Total URL length,netloc length,Query Length,count digits,count reserved char,has https,Country Code TLD,Generic TLD,is shortened TLD,has Port,has username,has fragments,num queries (count =),URL encoding,Path length,Path depth,Path digit counts,Path special character count,Page title,mimeType,status,redirected,ranking,country,server,tlsIssuer,tlsValidDays,numRequest,num Links,num Cookies,num Console Msg,urlscan Score,urlscan category,label
https://google.com,10,10,0,0,1,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,Google,text/html,200.0,sub-domain,2.0,US,gws,GTS CA 1C3,83.0,36.0,14.0,2.0,1.0,0.0,[],0
https://youtube.com,11,11,0,0,1,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,YouTube,text/html,200.0,sub-domain,68.0,US,ESF,GTS CA 1C3,83.0,155.0,11.0,4.0,7.0,0.0,[],0
https://linkedin.com,12,12,0,0,1,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,LinkedIn: Log In or Sign Up,text/html,200.0,sub-domain,574.0,US,,DigiCert SHA2 Secure Server CA,182.0,63.0,11.0,7.0,3.0,0.0,[],0
https://microsoft.com,13,13,0,0,1,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,"Microsoft – Cloud, Computers, Apps & Gaming",text/html,200.0,sub-domain,341.0,DE,,Microsoft Azure RSA TLS Issuing CA 07,360.0,82.0,33.0,15.0,3.0,0.0,[],0
https://wikipedia.org,13,13,0,0,1,1,Global,Organisation,0,0,0,0,0,0,0,0,0,0,Wikipedia,text/html,200.0,sub-domain,10392.0,US,mw-web.eqiad.main-5cdcc9ccd9-vsw6t,DigiCert TLS Hybrid ECC SHA384 2020 CA1,364.0,7.0,346.0,6.0,0.0,0.0,[],0
https://wordpress.org,13,13,0,0,1,1,Global,Organisation,0,0,0,0,0,0,0,0,0,0,"Blog Tool, Publishing Platform, and CMS – WordPress.org",text/html,200.0,,30102.0,US,nginx,Sectigo ECC Domain Validation Secure Server CA,396.0,47.0,20.0,2.0,0.0,0.0,[],0
https://en.wikipedia.org,16,16,0,0,2,1,Global,Organisation,0,0,0,0,0,0,0,0,0,0,"Wikipedia, the free encyclopedia",text/html,200.0,same-domain,4429.0,US,mw1405.eqiad.wmnet,DigiCert TLS Hybrid ECC SHA384 2020 CA1,364.0,42.0,107.0,6.0,0.0,0.0,[],0
https://play.google.com,15,15,0,0,2,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,Android Apps on Google Play,text/html,200.0,same-domain,37.0,US,ESF,GTS CA 1C3,83.0,70.0,8.0,8.0,0.0,0.0,[],0
https://pinterest.com,13,13,0,0,1,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,Pinterest,text/html,200.0,sub-domain,3628.0,US,,DigiCert Global G2 TLS RSA SHA256 2020 CA1,373.0,226.0,3.0,5.0,2.0,0.0,[],0
https://maps.google.com,15,15,0,0,2,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,Bevor Sie zu Google Maps weitergehen,text/html,200.0,off-domain,13340.0,DE,ESF,GTS CA 1C3,83.0,24.0,4.0,4.0,0.0,0.0,[],0
https://vimeo.com,9,9,0,0,1,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,,text/html,200.0,,1911.0,,cloudflare,Cloudflare Inc ECC CA-3,364.0,82.0,9.0,6.0,36.0,0.0,[],0
https://docs.google.com,15,15,0,0,2,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,Sign in - Google Accounts,text/html,200.0,off-domain,21.0,BE,ESF,GTS CA 1C3,83.0,23.0,3.0,3.0,1.0,0.0,[],0
https://bit.ly,6,6,0,0,1,1,Libya,Country,1,0,0,0,0,0,0,0,0,0,URL Shortener - Short URLs & Custom Free Link Shortener | Bitly,text/html,200.0,off-domain,52714.0,US,nginx,DigiCert Global G2 TLS RSA SHA256 2020 CA1,365.0,87.0,8.0,3.0,0.0,0.0,[],0
https://plus.google.com,15,15,0,0,2,1,Global,Commercial,0,0,0,0,0,0,0,0,0,0,"
Google Workspace Updates: New community features for Google Chat and an update on Currents 
",text/html,200.0,off-domain,86120.0,DE,GSE,GTS CA 1C3,83.0,32.0,26.0,4.0,1.0,0.0,[],0
